case_id,activity,timestamp,lifecycle_state,resource,site,deviation_type,severity,regulatory_deadline_days
DEV-2025-00001,Deviation Opened,2025-11-06 16:25:01,complete,Production Supervisor,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Initial Assessment,2025-11-06 18:16:41,start,QA Investigator,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Initial Assessment,2025-11-06 20:21:50,complete,QA Investigator,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Investigation Assigned,2025-11-10 12:56:48,start,Site Quality Manager,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Investigation Assigned,2025-11-10 14:39:15,complete,Site Quality Manager,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Root Cause Analysis,2025-11-11 00:33:14,start,QA Investigator,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Root Cause Analysis,2025-11-13 10:05:46,complete,QA Investigator,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Proposed,2025-11-13 23:39:20,start,CAPA Owner,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Proposed,2025-11-16 13:00:36,complete,CAPA Owner,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Approved,2025-11-16 21:20:00,start,Site Quality Manager,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Approved,2025-11-19 02:02:38,complete,Site Quality Manager,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Implemented,2025-11-19 10:24:15,start,CAPA Owner,Barcelona,Laboratory,Minor,90
DEV-2025-00001,CAPA Implemented,2025-11-26 17:04:23,complete,CAPA Owner,Barcelona,Laboratory,Minor,90
DEV-2025-00001,Closed,2025-11-26 21:20:10,complete,Site Quality Manager,Barcelona,Laboratory,Minor,90
DEV-2025-00003,Deviation Opened,2025-12-22 05:16:55,complete,Production Supervisor,Barcelona,Production,Minor,90
DEV-2025-00003,Initial Assessment,2025-12-22 11:43:02,start,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,Initial Assessment,2025-12-22 16:10:45,complete,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,Investigation Assigned,2025-12-28 21:15:15,start,Site Quality Manager,Barcelona,Production,Minor,90
DEV-2025-00003,Investigation Assigned,2025-12-28 23:29:27,complete,Site Quality Manager,Barcelona,Production,Minor,90
DEV-2025-00003,Root Cause Analysis,2025-12-29 14:31:09,start,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,Root Cause Analysis,2026-01-02 18:29:30,complete,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Proposed,2026-01-03 04:00:25,start,CAPA Owner,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Proposed,2026-01-05 12:36:41,complete,CAPA Owner,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Approved,2026-01-05 15:56:56,start,Site Quality Manager,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Approved,2026-01-06 17:31:02,complete,Site Quality Manager,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Implemented,2026-01-07 03:03:34,start,CAPA Owner,Barcelona,Production,Minor,90
DEV-2025-00003,CAPA Implemented,2026-01-12 01:45:16,complete,CAPA Owner,Barcelona,Production,Minor,90
DEV-2025-00003,Effectiveness Check,2026-01-12 11:16:18,start,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,Effectiveness Check,2026-01-27 08:16:58,complete,QA Investigator,Barcelona,Production,Minor,90
DEV-2025-00003,Closed,2026-01-27 09:48:47,complete,Site Quality Manager,Barcelona,Production,Minor,90
DEV-2025-00004,Deviation Opened,2025-05-23 20:59:46,complete,Production Supervisor,Milan,Laboratory,Minor,90
DEV-2025-00004,Initial Assessment,2025-05-24 01:51:48,start,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,Initial Assessment,2025-05-24 05:02:16,complete,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,Investigation Assigned,2025-05-25 13:51:18,start,Site Quality Manager,Milan,Laboratory,Minor,90
DEV-2025-00004,Investigation Assigned,2025-05-25 15:40:21,complete,Site Quality Manager,Milan,Laboratory,Minor,90
DEV-2025-00004,Root Cause Analysis,2025-05-25 20:19:26,start,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,Root Cause Analysis,2025-05-27 20:57:38,complete,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Proposed,2025-05-28 01:34:06,start,CAPA Owner,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Proposed,2025-05-30 06:08:51,complete,CAPA Owner,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Approved,2025-05-30 14:51:40,start,Site Quality Manager,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Approved,2025-06-01 09:13:52,complete,Site Quality Manager,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Implemented,2025-06-02 00:37:42,start,CAPA Owner,Milan,Laboratory,Minor,90
DEV-2025-00004,CAPA Implemented,2025-06-10 12:23:57,complete,CAPA Owner,Milan,Laboratory,Minor,90
DEV-2025-00004,Effectiveness Check,2025-06-11 09:26:39,start,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,Effectiveness Check,2025-06-17 23:27:18,complete,QA Investigator,Milan,Laboratory,Minor,90
DEV-2025-00004,Closed,2025-06-18 02:02:58,complete,Site Quality Manager,Milan,Laboratory,Minor,90
DEV-2025-00005,Deviation Opened,2025-08-15 10:37:53,complete,Production Supervisor,Barcelona,Laboratory,Major,60
DEV-2025-00005,Initial Assessment,2025-08-15 18:38:15,start,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,Initial Assessment,2025-08-15 23:38:18,complete,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,Investigation Assigned,2025-08-21 08:41:26,start,Site Quality Manager,Barcelona,Laboratory,Major,60
DEV-2025-00005,Investigation Assigned,2025-08-21 10:35:40,complete,Site Quality Manager,Barcelona,Laboratory,Major,60
DEV-2025-00005,Root Cause Analysis,2025-08-21 18:21:06,start,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,Root Cause Analysis,2025-08-25 13:52:05,complete,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Proposed,2025-08-25 16:46:29,start,CAPA Owner,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Proposed,2025-08-26 10:49:17,complete,CAPA Owner,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Approved,2025-08-26 14:26:21,start,Quality Council,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Approved,2025-08-27 08:39:36,complete,Quality Council,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Implemented,2025-08-27 16:47:31,start,CAPA Owner,Barcelona,Laboratory,Major,60
DEV-2025-00005,CAPA Implemented,2025-09-01 08:22:20,complete,CAPA Owner,Barcelona,Laboratory,Major,60
DEV-2025-00005,Effectiveness Check,2025-09-02 19:15:34,start,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,Effectiveness Check,2025-09-10 11:21:45,complete,QA Investigator,Barcelona,Laboratory,Major,60
DEV-2025-00005,Closed,2025-09-10 15:23:31,complete,Site Quality Manager,Barcelona,Laboratory,Major,60
DEV-2025-00006,Deviation Opened,2025-07-27 05:58:46,complete,Production Supervisor,Frankfurt,Production,Minor,90
DEV-2025-00006,Initial Assessment,2025-07-27 08:06:28,start,QA Investigator,Frankfurt,Production,Minor,90
DEV-2025-00006,Initial Assessment,2025-07-27 13:04:42,complete,QA Investigator,Frankfurt,Production,Minor,90
DEV-2025-00006,Investigation Assigned,2025-07-28 10:20:14,start,Site Quality Manager,Frankfurt,Production,Minor,90
DEV-2025-00006,Investigation Assigned,2025-07-28 11:49:24,complete,Site Quality Manager,Frankfurt,Production,Minor,90
DEV-2025-00006,Root Cause Analysis,2025-07-28 16:01:22,start,QA Investigator,Frankfurt,Production,Minor,90
DEV-2025-00006,Root Cause Analysis,2025-08-01 20:16:07,complete,QA Investigator,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Proposed,2025-08-02 02:05:28,start,CAPA Owner,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Proposed,2025-08-03 23:33:07,complete,CAPA Owner,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Approved,2025-08-04 07:39:28,start,Site Quality Manager,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Approved,2025-08-07 02:29:00,complete,Site Quality Manager,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Implemented,2025-08-07 10:03:33,start,CAPA Owner,Frankfurt,Production,Minor,90
DEV-2025-00006,CAPA Implemented,2025-08-13 21:57:29,complete,CAPA Owner,Frankfurt,Production,Minor,90
DEV-2025-00006,Closed,2025-08-14 03:07:30,complete,Site Quality Manager,Frankfurt,Production,Minor,90
DEV-2025-00007,Deviation Opened,2025-03-28 07:57:14,complete,Production Supervisor,Lyon,Production,Minor,90
DEV-2025-00007,Initial Assessment,2025-03-28 11:23:42,start,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,Initial Assessment,2025-03-28 14:41:12,complete,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,Investigation Assigned,2025-03-28 21:33:13,start,Site Quality Manager,Lyon,Production,Minor,90
DEV-2025-00007,Investigation Assigned,2025-03-29 00:18:04,complete,Site Quality Manager,Lyon,Production,Minor,90
DEV-2025-00007,Root Cause Analysis,2025-03-29 09:03:10,start,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,Root Cause Analysis,2025-03-31 00:46:23,complete,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Proposed,2025-03-31 05:07:22,start,CAPA Owner,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Proposed,2025-04-02 04:39:02,complete,CAPA Owner,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Approved,2025-04-02 17:52:42,start,Site Quality Manager,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Approved,2025-04-06 03:17:37,complete,Site Quality Manager,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Implemented,2025-04-06 21:14:44,start,CAPA Owner,Lyon,Production,Minor,90
DEV-2025-00007,CAPA Implemented,2025-04-10 02:33:47,complete,CAPA Owner,Lyon,Production,Minor,90
DEV-2025-00007,Effectiveness Check,2025-04-10 21:21:03,start,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,Effectiveness Check,2025-04-16 23:52:13,complete,QA Investigator,Lyon,Production,Minor,90
DEV-2025-00007,Closed,2025-04-17 02:24:40,complete,Site Quality Manager,Lyon,Production,Minor,90
DEV-2025-00008,Deviation Opened,2025-03-15 11:10:29,complete,Production Supervisor,Lyon,Distribution,Minor,90
DEV-2025-00008,Initial Assessment,2025-03-15 14:23:52,start,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,Initial Assessment,2025-03-15 16:07:45,complete,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,Investigation Assigned,2025-03-16 04:56:09,start,Site Quality Manager,Lyon,Distribution,Minor,90
DEV-2025-00008,Investigation Assigned,2025-03-16 06:52:58,complete,Site Quality Manager,Lyon,Distribution,Minor,90
DEV-2025-00008,Root Cause Analysis,2025-03-17 11:46:06,start,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,Root Cause Analysis,2025-03-21 19:34:23,complete,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Proposed,2025-03-22 10:00:00,start,CAPA Owner,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Proposed,2025-03-23 16:23:40,complete,CAPA Owner,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Approved,2025-03-23 20:19:26,start,Site Quality Manager,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Approved,2025-03-24 14:50:24,complete,Site Quality Manager,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Implemented,2025-03-26 17:02:46,start,CAPA Owner,Lyon,Distribution,Minor,90
DEV-2025-00008,CAPA Implemented,2025-03-30 06:34:17,complete,CAPA Owner,Lyon,Distribution,Minor,90
DEV-2025-00008,Effectiveness Check,2025-03-30 15:52:44,start,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,Effectiveness Check,2025-04-14 06:23:52,complete,QA Investigator,Lyon,Distribution,Minor,90
DEV-2025-00008,Closed,2025-04-14 09:53:50,complete,Site Quality Manager,Lyon,Distribution,Minor,90
DEV-2025-00009,Deviation Opened,2025-02-03 01:00:37,complete,Production Supervisor,Frankfurt,Documentation,Major,60
DEV-2025-00009,Initial Assessment,2025-02-03 03:53:11,start,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,Initial Assessment,2025-02-03 05:59:52,complete,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,Investigation Assigned,2025-02-04 02:18:33,start,Site Quality Manager,Frankfurt,Documentation,Major,60
DEV-2025-00009,Investigation Assigned,2025-02-04 06:42:50,complete,Site Quality Manager,Frankfurt,Documentation,Major,60
DEV-2025-00009,Root Cause Analysis,2025-02-04 17:43:17,start,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,Root Cause Analysis,2025-02-08 11:07:31,complete,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Proposed,2025-02-08 20:37:19,start,CAPA Owner,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Proposed,2025-02-12 06:39:35,complete,CAPA Owner,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Approved,2025-02-12 15:47:07,start,Quality Council,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Approved,2025-02-13 16:12:48,complete,Quality Council,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Implemented,2025-02-14 10:19:14,start,CAPA Owner,Frankfurt,Documentation,Major,60
DEV-2025-00009,CAPA Implemented,2025-03-01 02:07:56,complete,CAPA Owner,Frankfurt,Documentation,Major,60
DEV-2025-00009,Effectiveness Check,2025-03-01 19:59:30,start,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,Effectiveness Check,2025-03-06 19:15:44,complete,QA Investigator,Frankfurt,Documentation,Major,60
DEV-2025-00009,Closed,2025-03-06 20:59:52,complete,Site Quality Manager,Frankfurt,Documentation,Major,60
DEV-2025-00010,Deviation Opened,2025-09-26 03:19:09,complete,Production Supervisor,Barcelona,Production,Major,60
DEV-2025-00010,Initial Assessment,2025-09-26 06:24:26,start,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,Initial Assessment,2025-09-26 08:57:52,complete,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,Investigation Assigned,2025-10-01 16:02:22,start,Site Quality Manager,Barcelona,Production,Major,60
DEV-2025-00010,Investigation Assigned,2025-10-01 17:40:53,complete,Site Quality Manager,Barcelona,Production,Major,60
DEV-2025-00010,Root Cause Analysis,2025-10-02 03:39:02,start,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,Root Cause Analysis,2025-10-05 18:41:00,complete,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Proposed,2025-10-06 04:28:46,start,CAPA Owner,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Proposed,2025-10-09 19:13:35,complete,CAPA Owner,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Approved,2025-10-10 03:40:23,start,Quality Council,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Approved,2025-10-11 21:04:06,complete,Quality Council,Barcelona,Production,Major,60
DEV-2025-00010,Root Cause Analysis,2025-10-27 17:51:25,start,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,Root Cause Analysis,2025-10-29 16:03:38,complete,QA Investigator,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Proposed,2025-10-29 20:47:03,start,CAPA Owner,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Proposed,2025-10-31 06:04:09,complete,CAPA Owner,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Approved,2025-10-31 19:55:44,start,Quality Council,Barcelona,Production,Major,60
DEV-2025-00010,CAPA Approved,2025-11-01 11:23:06,complete,Quality Council,Barcelona,Production,Major,60
DEV-2025-00010,Root Cause Analysis,2025-11-14 09:02:10,start,QA Investigator,Barcelona,Production,Major,60
